danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.629,0.851,5.0,-11.182,0.0,0.0294,0.0309,0.303,0.0947,0.961,130.7,audio_features,0RnCUYXa7jhgTXtiMXF2PQ,spotify:track:0RnCUYXa7jhgTXtiMXF2PQ,https://api.spotify.com/v1/tracks/0RnCUYXa7jhgTXtiMXF2PQ,https://api.spotify.com/v1/audio-analysis/0RnCUYXa7jhgTXtiMXF2PQ,400116.0,4.0,
0.796,0.892,0.0,-8.31,1.0,0.0333,0.00475,0.0187,0.0717,0.965,120.4,audio_features,2Vnw8zKmjhr1jczUeaqiQg,spotify:track:2Vnw8zKmjhr1jczUeaqiQg,https://api.spotify.com/v1/tracks/2Vnw8zKmjhr1jczUeaqiQg,https://api.spotify.com/v1/audio-analysis/2Vnw8zKmjhr1jczUeaqiQg,407053.0,4.0,
0.733,0.795,1.0,-7.224,0.0,0.0249,0.0266,0.000948,0.083,0.892,109.122,audio_features,5KgbyD2lQQlIupAaPjgiXg,spotify:track:5KgbyD2lQQlIupAaPjgiXg,https://api.spotify.com/v1/tracks/5KgbyD2lQQlIupAaPjgiXg,https://api.spotify.com/v1/audio-analysis/5KgbyD2lQQlIupAaPjgiXg,212253.0,4.0,
0.781,0.556,5.0,-13.067,0.0,0.0611,0.0661,0.0907,0.0339,0.968,125.999,audio_features,7GK2KVYH8FrTC9zehmjVMd,spotify:track:7GK2KVYH8FrTC9zehmjVMd,https://api.spotify.com/v1/tracks/7GK2KVYH8FrTC9zehmjVMd,https://api.spotify.com/v1/audio-analysis/7GK2KVYH8FrTC9zehmjVMd,491933.0,4.0,
0.91,0.641,7.0,-11.316,1.0,0.0589,0.0258,6.42e-05,0.0642,0.903,118.533,audio_features,7Kszjzps0xbQXyo1pO4KfE,spotify:track:7Kszjzps0xbQXyo1pO4KfE,https://api.spotify.com/v1/tracks/7Kszjzps0xbQXyo1pO4KfE,https://api.spotify.com/v1/audio-analysis/7Kszjzps0xbQXyo1pO4KfE,331360.0,4.0,
0.72,0.828,5.0,-9.211,1.0,0.0462,0.185,0.429,0.0839,0.768,110.071,audio_features,3SnGymj6ijE2iuUfWxLo1q,spotify:track:3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/tracks/3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/audio-analysis/3SnGymj6ijE2iuUfWxLo1q,323347.0,4.0,
0.452,0.755,2.0,-8.344,1.0,0.0747,0.113,0.0,0.151,0.508,122.501,audio_features,76709jfVPvKWp7ChPQjCk7,spotify:track:76709jfVPvKWp7ChPQjCk7,https://api.spotify.com/v1/tracks/76709jfVPvKWp7ChPQjCk7,https://api.spotify.com/v1/audio-analysis/76709jfVPvKWp7ChPQjCk7,272000.0,4.0,
0.766,0.857,2.0,-8.647,0.0,0.03,0.0414,0.366,0.0288,0.967,131.982,audio_features,6Zlfef97wSpjcitqPXZWcj,spotify:track:6Zlfef97wSpjcitqPXZWcj,https://api.spotify.com/v1/tracks/6Zlfef97wSpjcitqPXZWcj,https://api.spotify.com/v1/audio-analysis/6Zlfef97wSpjcitqPXZWcj,495773.0,4.0,
0.726,0.888,5.0,-7.191,0.0,0.0726,0.335,0.000345,0.689,0.617,136.29,audio_features,1SfYqNab6yiVBKUHhEXGAD,spotify:track:1SfYqNab6yiVBKUHhEXGAD,https://api.spotify.com/v1/tracks/1SfYqNab6yiVBKUHhEXGAD,https://api.spotify.com/v1/audio-analysis/1SfYqNab6yiVBKUHhEXGAD,214667.0,4.0,
0.704,0.868,2.0,-5.808,1.0,0.0315,0.0834,0.0,0.206,0.808,131.468,audio_features,3XIEWK1V9n25PS9Vb6axj5,spotify:track:3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/tracks/3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/audio-analysis/3XIEWK1V9n25PS9Vb6axj5,188133.0,4.0,
0.673,0.752,9.0,-7.978,0.0,0.0491,0.00309,0.0,0.112,0.576,120.041,audio_features,2a1MrtxYybqFV1Ow8VJ1dW,spotify:track:2a1MrtxYybqFV1Ow8VJ1dW,https://api.spotify.com/v1/tracks/2a1MrtxYybqFV1Ow8VJ1dW,https://api.spotify.com/v1/audio-analysis/2a1MrtxYybqFV1Ow8VJ1dW,265027.0,4.0,
0.857,0.7,2.0,-14.506,0.0,0.0358,0.00387,0.0164,0.411,0.973,120.529,audio_features,1ibRqifchaAfeNdQGpbRVW,spotify:track:1ibRqifchaAfeNdQGpbRVW,https://api.spotify.com/v1/tracks/1ibRqifchaAfeNdQGpbRVW,https://api.spotify.com/v1/audio-analysis/1ibRqifchaAfeNdQGpbRVW,295107.0,4.0,
0.801,0.85,5.0,-6.342,1.0,0.0413,0.122,0.000971,0.112,0.923,128.007,audio_features,4NHLhoZgBkICm5LtTRXFAP,spotify:track:4NHLhoZgBkICm5LtTRXFAP,https://api.spotify.com/v1/tracks/4NHLhoZgBkICm5LtTRXFAP,https://api.spotify.com/v1/audio-analysis/4NHLhoZgBkICm5LtTRXFAP,218027.0,4.0,
0.694,0.719,6.0,-12.734,0.0,0.048,0.47,0.00121,0.44,0.972,126.212,audio_features,67hbP9PFQZrb4XZc3TzB0s,spotify:track:67hbP9PFQZrb4XZc3TzB0s,https://api.spotify.com/v1/tracks/67hbP9PFQZrb4XZc3TzB0s,https://api.spotify.com/v1/audio-analysis/67hbP9PFQZrb4XZc3TzB0s,220733.0,4.0,
0.723,0.969,6.0,-4.516,1.0,0.142,0.0643,0.0,0.115,0.728,126.653,audio_features,54OR1VDpfkBuOY5zZjhZAY,spotify:track:54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/tracks/54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/audio-analysis/54OR1VDpfkBuOY5zZjhZAY,286800.0,4.0,
0.7,0.815,7.0,-9.711,0.0,0.044,0.00115,0.00124,0.0901,0.837,113.245,audio_features,5MuNxNox3zTanAFIO5KcTl,spotify:track:5MuNxNox3zTanAFIO5KcTl,https://api.spotify.com/v1/tracks/5MuNxNox3zTanAFIO5KcTl,https://api.spotify.com/v1/audio-analysis/5MuNxNox3zTanAFIO5KcTl,375400.0,4.0,
0.681,0.746,2.0,-13.644,1.0,0.0399,0.00187,4.31e-05,0.0453,0.899,140.754,audio_features,1vJQzxoByUo0CoiEgAdgDk,spotify:track:1vJQzxoByUo0CoiEgAdgDk,https://api.spotify.com/v1/tracks/1vJQzxoByUo0CoiEgAdgDk,https://api.spotify.com/v1/audio-analysis/1vJQzxoByUo0CoiEgAdgDk,249773.0,4.0,
0.806,0.706,0.0,-6.044,1.0,0.0909,0.028,0.0,0.07,0.608,112.985,audio_features,1tJtx09XQnxaynZLOaTNfZ,spotify:track:1tJtx09XQnxaynZLOaTNfZ,https://api.spotify.com/v1/tracks/1tJtx09XQnxaynZLOaTNfZ,https://api.spotify.com/v1/audio-analysis/1tJtx09XQnxaynZLOaTNfZ,312355.0,4.0,
0.849,0.657,11.0,-7.509,1.0,0.205,0.0463,2.93e-05,0.117,0.864,112.682,audio_features,34jtsFqKNRSJFa0r6ZRqQh,spotify:track:34jtsFqKNRSJFa0r6ZRqQh,https://api.spotify.com/v1/tracks/34jtsFqKNRSJFa0r6ZRqQh,https://api.spotify.com/v1/audio-analysis/34jtsFqKNRSJFa0r6ZRqQh,252653.0,4.0,
0.653,0.652,7.0,-9.304,0.0,0.0427,0.13,1.58e-05,0.202,0.846,115.388,audio_features,3MFa9idQuY4iJLWsZl3tIQ,spotify:track:3MFa9idQuY4iJLWsZl3tIQ,https://api.spotify.com/v1/tracks/3MFa9idQuY4iJLWsZl3tIQ,https://api.spotify.com/v1/audio-analysis/3MFa9idQuY4iJLWsZl3tIQ,248360.0,4.0,
0.685,0.584,5.0,-10.616,0.0,0.0276,0.288,0.00918,0.124,0.939,134.546,audio_features,5vmRQ3zELMLUQPo2FLQ76x,spotify:track:5vmRQ3zELMLUQPo2FLQ76x,https://api.spotify.com/v1/tracks/5vmRQ3zELMLUQPo2FLQ76x,https://api.spotify.com/v1/audio-analysis/5vmRQ3zELMLUQPo2FLQ76x,302413.0,4.0,
0.8,0.878,1.0,-7.109,1.0,0.0434,0.189,0.000104,0.14,0.816,104.282,audio_features,2NVpYQqdraEcQwqT7GhUkh,spotify:track:2NVpYQqdraEcQwqT7GhUkh,https://api.spotify.com/v1/tracks/2NVpYQqdraEcQwqT7GhUkh,https://api.spotify.com/v1/audio-analysis/2NVpYQqdraEcQwqT7GhUkh,280853.0,4.0,
0.842,0.697,10.0,-13.796,0.0,0.0654,0.161,0.000101,0.583,0.916,134.533,audio_features,3L9ClO1W5KmebIXTrlKShF,spotify:track:3L9ClO1W5KmebIXTrlKShF,https://api.spotify.com/v1/tracks/3L9ClO1W5KmebIXTrlKShF,https://api.spotify.com/v1/audio-analysis/3L9ClO1W5KmebIXTrlKShF,267227.0,4.0,
0.859,0.782,10.0,-8.344,1.0,0.0369,0.154,0.0297,0.0693,0.931,119.518,audio_features,3EG65y2LtxWjfydabHdItb,spotify:track:3EG65y2LtxWjfydabHdItb,https://api.spotify.com/v1/tracks/3EG65y2LtxWjfydabHdItb,https://api.spotify.com/v1/audio-analysis/3EG65y2LtxWjfydabHdItb,247133.0,4.0,
0.892,0.433,0.0,-13.806,0.0,0.0699,0.0277,0.000892,0.0308,0.924,128.029,audio_features,4rS4K30qVDExdjeU4feF4c,spotify:track:4rS4K30qVDExdjeU4feF4c,https://api.spotify.com/v1/tracks/4rS4K30qVDExdjeU4feF4c,https://api.spotify.com/v1/audio-analysis/4rS4K30qVDExdjeU4feF4c,344547.0,4.0,
0.779,0.653,7.0,-10.827,1.0,0.0618,0.345,2.44e-06,0.475,0.968,122.569,audio_features,59BkBWQitTPgS1inzGfyI5,spotify:track:59BkBWQitTPgS1inzGfyI5,https://api.spotify.com/v1/tracks/59BkBWQitTPgS1inzGfyI5,https://api.spotify.com/v1/audio-analysis/59BkBWQitTPgS1inzGfyI5,286581.0,4.0,
0.677,0.703,9.0,-9.344,1.0,0.0344,0.143,6.96e-05,0.514,0.962,99.419,audio_features,5jWI1xNxABzDRFTnD2yp8L,spotify:track:5jWI1xNxABzDRFTnD2yp8L,https://api.spotify.com/v1/tracks/5jWI1xNxABzDRFTnD2yp8L,https://api.spotify.com/v1/audio-analysis/5jWI1xNxABzDRFTnD2yp8L,183693.0,4.0,
0.635,0.584,6.0,-9.112,1.0,0.0296,0.118,0.0,0.29,0.711,127.626,audio_features,0cXFXgFns7sIMmTpqyGRmD,spotify:track:0cXFXgFns7sIMmTpqyGRmD,https://api.spotify.com/v1/tracks/0cXFXgFns7sIMmTpqyGRmD,https://api.spotify.com/v1/audio-analysis/0cXFXgFns7sIMmTpqyGRmD,208240.0,4.0,
0.692,0.79,5.0,-14.065,1.0,0.0416,0.074,0.711,0.101,0.96,128.13,audio_features,7B7lf3sIze5VR2WuYttn18,spotify:track:7B7lf3sIze5VR2WuYttn18,https://api.spotify.com/v1/tracks/7B7lf3sIze5VR2WuYttn18,https://api.spotify.com/v1/audio-analysis/7B7lf3sIze5VR2WuYttn18,495187.0,4.0,
