danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,id
0.629,0.851,5.0,-11.182,0.0,0.0294,0.0309,0.303,0.0947,0.961,130.7,5.0,0RnCUYXa7jhgTXtiMXF2PQ
0.796,0.892,0.0,-8.31,1.0,0.0333,0.00475,0.0187,0.0717,0.965,120.4,3.0,2Vnw8zKmjhr1jczUeaqiQg
0.733,0.795,1.0,-7.224,0.0,0.0249,0.0266,0.000948,0.083,0.892,109.122,5.0,5KgbyD2lQQlIupAaPjgiXg
0.781,0.556,5.0,-13.067,0.0,0.0611,0.0661,0.0907,0.0339,0.968,125.999,5.0,7GK2KVYH8FrTC9zehmjVMd
0.91,0.641,7.0,-11.316,1.0,0.0589,0.0258,6.42e-05,0.0642,0.903,118.533,1.0,7Kszjzps0xbQXyo1pO4KfE
0.72,0.828,5.0,-9.211,1.0,0.0462,0.185,0.429,0.0839,0.768,110.071,1.0,3SnGymj6ijE2iuUfWxLo1q
0.452,0.755,2.0,-8.344,1.0,0.0747,0.113,0.0,0.151,0.508,122.501,10.0,76709jfVPvKWp7ChPQjCk7
0.766,0.857,2.0,-8.647,0.0,0.03,0.0414,0.366,0.0288,0.967,131.982,5.0,6Zlfef97wSpjcitqPXZWcj
0.726,0.888,5.0,-7.191,0.0,0.0726,0.335,0.000345,0.689,0.617,136.29,12.0,1SfYqNab6yiVBKUHhEXGAD
0.704,0.868,2.0,-5.808,1.0,0.0315,0.0834,0.0,0.206,0.808,131.468,3.0,3XIEWK1V9n25PS9Vb6axj5
0.673,0.752,9.0,-7.978,0.0,0.0491,0.00309,0.0,0.112,0.576,120.041,5.0,2a1MrtxYybqFV1Ow8VJ1dW
0.857,0.7,2.0,-14.506,0.0,0.0358,0.00387,0.0164,0.411,0.973,120.529,5.0,1ibRqifchaAfeNdQGpbRVW
0.801,0.85,5.0,-6.342,1.0,0.0413,0.122,0.000971,0.112,0.923,128.007,1.0,4NHLhoZgBkICm5LtTRXFAP
0.694,0.719,6.0,-12.734,0.0,0.048,0.47,0.00121,0.44,0.972,126.212,5.0,67hbP9PFQZrb4XZc3TzB0s
0.723,0.969,6.0,-4.516,1.0,0.142,0.0643,0.0,0.115,0.728,126.653,1.0,54OR1VDpfkBuOY5zZjhZAY
0.7,0.815,7.0,-9.711,0.0,0.044,0.00115,0.00124,0.0901,0.837,113.245,5.0,5MuNxNox3zTanAFIO5KcTl
0.681,0.746,2.0,-13.644,1.0,0.0399,0.00187,4.31e-05,0.0453,0.899,140.754,3.0,1vJQzxoByUo0CoiEgAdgDk
0.806,0.706,0.0,-6.044,1.0,0.0909,0.028,0.0,0.07,0.608,112.985,3.0,1tJtx09XQnxaynZLOaTNfZ
0.849,0.657,11.0,-7.509,1.0,0.205,0.0463,2.93e-05,0.117,0.864,112.682,0.0,34jtsFqKNRSJFa0r6ZRqQh
